Ponto / Grupo,Data,Hora,Ativa C (kWh),Qualidade,Origem
RJAQTEENTR101 (L),01/04/2024,1,"20,144",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,2,"19,769",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,3,"19,584",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,4,"19,742",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,5,"20,481",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,6,"23,622",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,7,"545,836",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,8,"996,631",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,9,"1.074,710",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,10,"1.105,358",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,11,"1.083,968",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,12,"1.028,134",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,13,"748,867",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,14,"1.031,067",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,15,"1.005,450",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,16,"1.089,374",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,17,"1.072,133",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,18,"625,317",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,19,"36,536",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,20,"36,773",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,21,"36,931",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,22,"35,528",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,23,"36,004",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),01/04/2024,24,"35,791",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,1,"20,482",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,2,"17,754",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,3,"17,450",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,4,"17,114",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,5,"18,062",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,6,"538,292",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,7,"776,642",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,8,"1.097,147",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,9,"1.087,115",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,10,"1.117,841",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,11,"1.111,512",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,12,"1.119,313",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,13,"1.022,755",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,14,"1.092,923",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,15,"1.095,314",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,16,"1.108,066",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,17,"1.106,369",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,18,"635,857",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,19,"42,327",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,20,"31,726",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,21,"27,699",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,22,"25,252",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,23,"23,889",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),02/04/2024,24,"24,236",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,1,"22,776",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,2,"22,449",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,3,"22,440",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,4,"20,573",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,5,"18,016",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,6,"509,836",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,7,"762,973",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,8,"1.104,873",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,9,"1.103,501",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,10,"1.096,189",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,11,"1.100,087",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,12,"1.123,226",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,13,"991,400",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,14,"979,010",Completo,COLETA DIÁRIA
RJAQTEENTR101 (L),03/04/2024,15,"1.004,971",Completo,COLETA DIÁRIA
